Dimension, Obstacles, Seed, Algorithm, Time, Nodes Expanded, Plan Length, Error, Plan, Env
4x4, 0, 3735929054, bfs, 0.45, 88, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, ucs, 0.26, 51, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, gbfs, 0.04, 7, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, astar, 0.10, 16, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, custom-astar, 0.05, 9, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 195936467, bfs, 0.43, 77, 7, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 195936467, ucs, 0.42, 69, 7, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 195936467, gbfs, 0.05, 8, 7, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 195936467, astar, 0.16, 30, 7, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 195936467, custom-astar, 0.11, 21, 8, None, TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF, canWorld
4x4, 0, 20493, bfs, 1.07, 209, 11, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 20493, ucs, 0.89, 187, 11, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 20493, gbfs, 0.07, 12, 11, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 20493, astar, 0.48, 96, 11, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 20493, custom-astar, 0.15, 31, 13, None, TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
4x4, 4, 3735929054, bfs, 1.02, 171, 10, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF, canWorld
